Editor;WYSIWYG;FTP Upload;WebDAV Upload;Server-side scripting;Shared editing;Templates;Templates Update Sync;Page Preview;Form Handler;Spell checking
Amaya;Yes;No;Yes;No;No;Partial;No;;;Yes
Aptana;No;Yes;;via plugins;Yes;Some;;Yes;;No
Arachnophilia;No;;;;;Yes;;Yes;;Yes
Bluefish;No;Yes;Yes;Yes;No;Yes;Yes;Yes;;Yes
BlueGriffon;Yes;Yes;No;;No;Yes;No;Yes;;Yes
Claris Homepage;Yes;Yes;No;No;No;Yes;No;Yes;;Yes
CoffeeCup HTML Editor;Yes;Yes;;No;No;Yes;;Yes;;Yes
Dreamweaver;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Freeway;Yes;Yes;No;Yes;No;Yes;;Yes;;Yes
GoLive;Yes;Yes;Yes;Yes;No;Yes;;Yes;;Yes
HTML-Kit;Yes;Yes;;Yes;No;Yes;;Yes;;Yes
KompoZer;Yes;Yes;No;No;No;Yes;No;Yes;;Yes
Maqetta;;;;;;;;;;No
Microsoft Expression Web;Yes;Yes;Yes;Yes;Yes;Yes;;Yes;;Yes
Microsoft FrontPage;Yes;Yes;Yes;Yes;Yes;Yes;;Yes;;Yes
Microsoft SharePoint Designer;Yes;Yes;Yes;Yes;Yes;Yes;;Yes;;Yes
Microsoft Visual Web Developer;Yes;Yes;Yes;Yes;Yes;Yes;;Yes;;Yes
Nvu;Yes;Yes;Yes;No;No;Yes;No;Yes;;Yes
OpenBEXI;Yes;Yes;;Yes;No;Yes;Yes;Yes;;Yes
OpenOffice.org;Yes;;;;;;;Yes;;Yes
Quanta Plus;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;;Yes
RapidWeaver;Yes;Yes;No;Yes;No;Yes;;Yes;;Yes
SeaMonkey Composer;Yes;Yes;Yes;No;No;No;No;Yes;;Yes
